"","s1"
"HMCN1",0
"HNF1A",0
"HOXB13",0
"HRAS",0
"HSF1",0
"HUWE1",0
"HYOU1",0
"ICOSLG",0
"ID3",0
"IDH1",-0.810075416549303
"IDH2",-0.220474018718656
"IFNGR1",0
"IGF1",0
"IGF1R",0
"IGF2",0
"IGLON5",0
"IKBKB",0
"IKBKE",0
"IKZF1",0
"IL10",0
"IL7R",0
"INHA",0.258238434169011
"INHBA",0
"INPP4A",0
"INPP4B",0
"INPPL1",0
"INS.IGF2",0
"INSR",0
"INSRR",0
"IRF4",0
"IRS1",0
"IRS2",0
"ITCH",0
"JAK1",0
"JAK2",0.382686201990855
"JAK3",0.133074654619021
"JARID2",0
"JUN",1.40235706725638
"KAT2A",0
"KAT6B",0
"KCNA4",0
"KCNH1",0
"KDM1B",0
"KDM3B",0
"KDM5A",0
"KDM5C",0
"KDM6A",0
"KDR",0
"KEAP1",0
"KIF2B",0
"KIT",0.97745057930693
"KLF4",0
"KMT2A",0
"KMT2B",0
"KMT2C",0
"KMT2D",0
"KNSTRN",0
"KRAS",0.87561781795799
"LAMA1",0
"LAMA2",0
"LAMA3",0
"LATS1",0
"LATS2",0
"LDB1",0
"LGI1",0
"LMO1",0
"LMO7",0
"LRP1B",0
"LRP2",0
"LRRIQ1",0
"LTN1",0
"LYN",0
"LYVE1",0
"MAFB",0
"MALT1",0
"MAP2K1",0
"MAP2K2",0
"MAP2K4",0
"MAP2K7",0
"MAP3K1",0
"MAP3K13",0
"MAP3K14",0
"MAPK1",0
"MAPK3",0
"MAPK4",0
"MAPKAP1",0
"MARCKS",0
"MARK4",0
"MAX",0
"MCC",0
"MCL1",0
"MCM5",0
"MCM6",0
"MCM9",0
"MDC1",0
"MDC1.AS1",0
"MDM1",0
"MDM2",0
"MDM4",0
"MED12",0
"MEF2B",0
"MEF2BNB.MEF2B",0
"MEN1",0
"MET",0
"MGA",0
"MITF",0
"MKL1",0
"MLH1",0
"MLL",0
"MLL2",0
"MLL3",0
"MLL4",0
"MLLT11",0
"MLLT6",0
"MPL",0
"MRAS",0
"MRE11A",0.101921454785251
"MSH2",0
"MSH3",0
"MSH4",0
"MSH6",0
"MSI1",0
"MSI2",0
"MSL3",0
"MST1",0
"MST1R",0
"MTOR",0
"MUC1",0
"MUC16",0
"MUC17",0
"MUC2",0
"MUC4",0
"MUC6",0
"MUTYH",0
"MYC",0
"MYCL",0
"MYCL1",0
"MYCN",0
"MYD88",0
"MYOD1",0
"NBN",0
"NCK2",0
"NCOA2",0
"NCOA3",0
"NCOR1",0
"NDC80",0
"NDUFB11",0
"NEB",0
"NEGR1",0
"NEK4",0
"NF1",0
"NF2",0
"NFATC4",0
"NFE2L2",0
"NFKB1",0
"NFKB2",0
"NFKBIA",0
"NKX2.1",0
"NKX3.1",0
"NLRP1",0
"NOTCH1",0
"NOTCH2",0
"NOTCH3",0
"NOTCH4",0
"NOV",0
"NPM1",0
"NR2F1",0
"NRAS",0
"NSD1",0
"NTHL1",0
"NTRK1",0
"NTRK2",0
"NTRK3",0
"NUF2",0
"NUP214",0
"NUP93",0
"OBSCN",0
"OBSL1",0
"OGT",0
"OR10Z1",0
"P4HTM",0
"PAF1",0
"PAK1",0
"PAK7",0
"PALB2",0
"PARK2",0
"PARP1",0
"PAX5",0
"PBRM1",-0.384514318999716
"PBX1",0
"PCDH10",0
"PCDHA12",0
"PCDHA13",0
"PCDHAC1",0
"PCLO",0
"PDCD1",0
"PDCD1LG2",0
"PDE4DIP",0
"PDGFA",0
"PDGFRA",0
"PDGFRB",0
"PDPK1",0
"PEG3",0
"PELP1",0
"PGR",0
"PHOX2B",0
"PIGR",0
"PIK3C2A",0
"PIK3C2G",0
"PIK3C3",0
"PIK3CA",0
"PIK3CB",0
"PIK3CD",0
"PIK3CG",0
"PIK3R1",0
"PIK3R2",0
"PIK3R3",0.0738182923533883
"PIM1",0
"PLCD1",0
"PLCG2",0
"PLEC",0
"PLEKHG1",0
"PLK2",0
"PMAIP1",0
"PMEPA1",0
"PMS1",0
"PMS2",0
"PNRC1",0
"POLD1",0
"POLD3",0
"POLE",0
"PPARG",0
"PPFIA4",0
"PPM1D",0
"PPP1R12A",0
"PPP2R1A",0
"PPP4R2",0
"PPP6C",0
"PRDM1",0
"PRDM11",0
"PRDM14",0
"PREX2",0
"PRKAR1A",0
"PRKCI",0
"PRKD1",0
"PTCH1",0
"PTEN",0
"PTP4A1",0
"PTPN11",0
"PTPRD",0.356596488950374
"PTPRE",0
"PTPRS",0
"PTPRT",-0.314600355844976
"PXDN",0
"RAB35",0
"RAC1",0
"RAC2",0
"RAD21",0
"RAD1",1.73930838675489
"RAD51",0
"RAD51B",0
"RAD51C",0
"RAD51D",0
"RAD52",1.0885233370653
"RAD54L",0
"RADIL",0
"RAF1",0
"RARA",0
"RARG",0
"RASA1",0
"RASGRF2",0
"RB1",0
"RBL1",0
"RBM10",0
"RECQL",0
"RECQL4",0
"REG3A",0
"REL",0
"REST",0
"RET",0
"RFWD2",0
"RGS7",0
"RHBDF1",0
"RHEB",0
"RHOA",0
"RICTOR",0
"RIMS1",0
"RIT1",0
"RNF213",0
"RNF43",0.900830786568234
"ROBO1",0
"ROBO2",0
"ROBO3",0
"ROR2",0
"ROS1",0
"RP11.366L20.2",0
"RP11.45M22.4",0
"RP11.461L13.2",0
"RP11.513D5.2",0
"RPA1",0
"RPAP1",0
"RPL22",0
"RPS6KA4",0
"RPS6KA6",0
"RPS6KB2",0
"RPTOR",0
"RRAGC",0
"RRAS",0
"RRAS2",0
"RTEL1",0
"RTEL1.TNFRSF6B",0
"RUNX1",0
"RXRA",0
"RYBP",0
"RYR2",0
"SACS",0
"SBNO1",0
"SDCCAG8",0
"SDHA",0
"SDHAF2",0
"SDHB",0
"SDHC",0
"SDHD",0
"SESN1",0
"SESN2",0
"SESN3",0
"SETD2",0
"SETD8",0
"SETDB1",0
"SF3B1",0.210852097877137
"SH2B3",0
"SH2D1A",0
"SHOC2",0
"SHQ1",0
"SIRT6",0
"SLC22A23",0
"SLC5A5",0
"SLIT2",0
"SLTM",0
"SLX4",0
"SMAD2",0
"SMAD3",0
"SMAD4",0.18310426041249
"SMARCA2",0
"SMARCA4",-0.314011094220694
"SMARCB1",0
"SMARCD1",0
"SMG1",0
"SMO",0
"SMYD3",0.8443856006934
"SOCS1",0
"SOS1",0
"SOX17",0
"SOX2",0
"SOX9",0
"SPA17",0
"SPEN",0
"SPHKAP",0
"SPOP",0
"SPRED1",1.26447301461757
"SPTA1",0
"SRC",0
"SRCAP",0
"SRP19",0
"SRPK1",0
"SRPK2",0
"SRSF2",0
"ST14",0
"STAC3",0
"STAG2",0
"STAT3",0
"STAT5A",0
"STAT5B",0
"STK11",0
"STK19",0
"STK4",0
"STK40",0
"SUFU",0
"SUZ12",0
"SYK",0
"SYNE1",0
"SYT1",0
"TACC1",0
"TAF10",0
"TAF4B",0
"TAL1",0
"TAP1",0
"TAP2",0
"TBX2",0
"TBX3",0
"TCEB1",0
"TCF3",0
"TCF7L2",0
"TEK",0
"TENM1",0
"TENM2",0
"TERT",-0.37476374595015
"TET1",0
"TET2",0
"TET3",0
"TGFBR1",0
"TGFBR2",0
"THBS2",0
"THBS3",0
"TIA1",0
"TIMM8B",0
"TIMP3",0
"TLE4",0
"TMEM127",0
"TMPRSS2",0
"TNFAIP3",0.42301629280579
"TNFRSF14",0
"TNN",0
"TONSL",0
"TOP1",0
"TP53",0.546407262377507
"TP53BP1",0
"TP63",0
"TP73",0
"TPI1",0
"TPR",0
"TRAF2",0
"TRAF7",0
"TRIM56",0
"TRIM58",0
"TSC1",0
"TSC2",0
"TSHR",0
"U2AF1",1.63290645863273
"UNC5C",0
"UPF1",0
"USP24",0
"USP7",0
"VAV3",0
"VEGFA",0
"VEZT",0
"VHL",0
"VTCN1",0
"WHSC1",0
"WHSC1L1",0
"WIF1",0
"WNT5B",0
"WRAP53",0
"WRN",0
"WT1",0
"WWTR1",0
"XIAP",0
"XIRP2",0
"XPO1",0
"XRCC2",0
"YAP1",0
"YEATS4",0
"YES1",0
"YY1",0
"ZEB2",0
"ZFHX3",0
"ZNF318",0
"ZNF415",0
"ZNF521",0
"ZNF90",0
"ZRSR2",0
